gene,transcript,FBID_KEY,contrast,estimate,abs_estimate,SE,t.ratio,p.value,ID_Notes_InteractionPlots,ID_Notes_AboutGeneFunction,FBID_KEY,ANNOTATION_SYMBOL,ASSOCIATED_GENE,REFSEQ,SYMBOL,#SUBMITTED ID,FBID_KEY,CG_Gene,GENE_SNAPSHOT,GO_BIOLOGICAL_PROCESS,GO_CELLULAR_COMPONENT,GO_MOLECULAR_FUNCTION,H_SAPIENS_ORTHOLOGS,LOCATION_MAX,LOCATION_MIN,M_MUSCULUS_ORTHOLOGS,NAME,SYMBOL
FBgn0030802,FBtr0310520,FBtr0310520,down - up,0.526359697,0.526359697,0.106432325,4.945487149,1.97455714070482e-05,,,FBtr0310520,CG9099-RB,DENR,REFSEQ:NM_001272701,DENR-RB,FBgn0030802,FBgn0030802,CG9099,Density regulated protein (DENR) encodes a non-canonical translation initiation factor together with its binding partner encoded by MCTS1. It associates with ribosomes and it promotes translation reinitiation. [Date last reviewed: 2019-03-07],"positive regulation of ecdysone receptor-mediated signaling pathway ; GO:0120142 | involved_in inferred from mutant phenotype <newline> translation reinitiation ; GO:0002188 | involved_in inferred from direct assay <newline> positive regulation of insulin receptor signaling pathway ; GO:0046628 | involved_in inferred from mutant phenotype <newline> translation reinitiation ; GO:0002188 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000300443 <newline> translational initiation ; GO:0006413 | involved_in inferred from electronic annotation with InterPro:IPR001950, InterPro:IPR036877 <newline> formation of translation preinitiation complex ; GO:0001731 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000300443 <newline> positive regulation of ecdysone receptor-mediated signaling pathway ; GO:0120142 | <newline> translation reinitiation ; GO:0002188 | <newline> positive regulation of insulin receptor signaling pathway ; GO:0046628 | <newline> translational initiation ; GO:0006413 | <newline> formation of translation preinitiation complex ; GO:0001731 |",protein-containing complex ; GO:0032991 | part_of inferred from physical interaction with MCTS1 <newline> protein-containing complex ; GO:0032991 |,"translation initiation factor activity ; GO:0003743 | enables inferred from electronic annotation with InterPro:IPR001950, InterPro:IPR005873, InterPro:IPR036877 <newline> mRNA binding ; GO:0003729 | enables inferred from biological aspect of ancestor with PANTHER:PTN000300443 <newline> mRNA 5'-UTR binding ; GO:0048027 | enables inferred from direct assay <newline> translation initiation factor activity ; GO:0003743 | <newline> mRNA binding ; GO:0003729 | <newline> mRNA 5'-UTR binding ; GO:0048027 |",Hsap\DENR <newline> Hsap\EIF1B <newline> Hsap\EIF1 <newline> Hsap\EIF2D,16886560,16885546,Mmus\Denr <newline> Mmus\Eif1b <newline> Mmus\Eif1,Density regulated protein,DENR
FBgn0051635,FBtr0331190,FBtr0331190,down - up,0.519032597,0.519032597,0.138113134,3.758024908,0.006069184,,,FBtr0331190,CG31635-RF,CG31635,REFSEQ:NM_001273209,CG31635-RF,FBgn0051635,FBgn0051635,CG31635,,-,-,-,Hsap\PPP1R37 <newline> Hsap\RNH1 <newline> Hsap\NLRC3 <newline> Hsap\NLRP14 <newline> Hsap\NLRP7 <newline> Hsap\NLRP2 <newline> Hsap\NLRP4 <newline> Hsap\NLRP13 <newline> Hsap\LRRC74B <newline> Hsap\LRRC34 <newline> Hsap\NLRP5 <newline> Hsap\NLRP12 <newline> Hsap\LRRC74A <newline> Hsap\NLRC5,6649114,6632798,Mmus\Ppp1r37 <newline> Mmus\Gm28729 <newline> Mmus\Rnh1 <newline> Mmus\Lrrc74a <newline> Mmus\Nlrp2 <newline> Mmus\Nlrp12 <newline> Mmus\Lrrc74b <newline> Mmus\Lrrc34 <newline> Mmus\Nlrp5 <newline> Mmus\Nlrc3,-,CG31635
FBgn0017414,FBtr0088239,FBtr0088239,down - up,-0.501854295,0.501854295,0.126726059,-3.960150727,0.001335877,,,FBtr0088239,CG12346-RA,cag,REFSEQ:NM_057859,cag-RA,FBgn0017414,FBgn0017414,CG12346,,-,nucleus ; GO:0005634 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002712198 <newline> nucleus ; GO:0005634 |,DNA binding ; GO:0003677 | enables inferred from electronic annotation with InterPro:IPR007889 <newline> DNA binding ; GO:0003677 | enables inferred from biological aspect of ancestor with PANTHER:PTN002712198 <newline> DNA binding ; GO:0003677 |,Hsap\POGZ <newline> Hsap\TIGD6 <newline> Hsap\TIGD3 <newline> Hsap\TIGD2 <newline> Hsap\JRKL <newline> Hsap\TIGD4 <newline> Hsap\POGK <newline> Hsap\CENPB <newline> Hsap\TIGD7 <newline> Hsap\TIGD1 <newline> Hsap\TIGD5 <newline> Hsap\JRK <newline> Hsap\LOC100287896 <newline> Hsap\CENPBD1P,10894414,10893034,Mmus\Tigd4 <newline> Mmus\Tigd3 <newline> Mmus\Tigd2 <newline> Mmus\Jrk <newline> Mmus\Cenpb <newline> Mmus\Pogz <newline> Mmus\Jrkl <newline> Mmus\Pogk <newline> Mmus\Tigd5,cag,cag
FBgn0085354,FBtr0339825,FBtr0339825,down - up,-0.495260723,0.495260723,0.102729619,-4.821011976,3.51246440218889e-05,,,FBtr0339825,CG34325-RB,CG34325,REFSEQ:NM_001298418,CG34325-RB,FBgn0085354,FBgn0085354,CG34325,-,-,-,-,Hsap\TGFB1I1 <newline> Hsap\LPXN <newline> Hsap\PXN <newline> Hsap\PDLIM4 <newline> Hsap\PDLIM3 <newline> Hsap\SYNPO2 <newline> Hsap\PDLIM2 <newline> Hsap\PDLIM7 <newline> Hsap\PDLIM1 <newline> Hsap\SYNPO2L <newline> Hsap\LDB3 <newline> Hsap\PDLIM5 <newline> Hsap\LIMS1 <newline> Hsap\LIMS2 <newline> Hsap\LIMS4 <newline> Hsap\FHL3 <newline> Hsap\FHL2 <newline> Hsap\FHL5 <newline> Hsap\FHL1 <newline> Hsap\ABLIM3 <newline> Hsap\LMO4 <newline> Hsap\LPP <newline> Hsap\PRICKLE3 <newline> Hsap\FBLIM1 <newline> Hsap\LMO1 <newline> Hsap\DMBX1 <newline> Hsap\CSRP1 <newline> Hsap\LIMK1 <newline> Hsap\AJUBA <newline> Hsap\NKX2-6 <newline> Hsap\LHX5 <newline> Hsap\LMX1A <newline> Hsap\LIMD2 <newline> Hsap\LHX2 <newline> Hsap\LHX3 <newline> Hsap\LIMD1 <newline> Hsap\CSRP3 <newline> Hsap\PRICKLE2 <newline> Hsap\LMO2 <newline> Hsap\LHX6 <newline> Hsap\LMCD1 <newline> Hsap\LIMA1 <newline> Hsap\ISL1 <newline> Hsap\LHX4 <newline> Hsap\CRIP3 <newline> Hsap\MICALL2 <newline> Hsap\ZFHX4 <newline> Hsap\ABLIM2 <newline> Hsap\MICAL1 <newline> Hsap\LHX8 <newline> Hsap\PRICKLE1 <newline> Hsap\CRIP2 <newline> Hsap\ZYX <newline> Hsap\LIMK2 <newline> Hsap\LMO3 <newline> Hsap\TES <newline> Hsap\ABLIM1 <newline> Hsap\CSRP2 <newline> Hsap\LHX1 <newline> Hsap\LHX9 <newline> Hsap\PRICKLE4 <newline> Hsap\LMX1B <newline> Hsap\CRIP1 <newline> Hsap\WTIP <newline> Hsap\ISL2 <newline> Hsap\TRIP6,16721411,16714449,Mmus\Tgfb1i1 <newline> Mmus\Lpxn <newline> Mmus\Pxn <newline> Mmus\Ldb3 <newline> Mmus\Pdlim4 <newline> Mmus\Pdlim5 <newline> Mmus\Pdlim3 <newline> Mmus\Pdlim7 <newline> Mmus\Synpo2l <newline> Mmus\Pdlim1 <newline> Mmus\Pdlim2 <newline> Mmus\Synpo2 <newline> Mmus\Lims2 <newline> Mmus\Lims1 <newline> Mmus\Fhl3 <newline> Mmus\Fhl2 <newline> Mmus\Fhl5 <newline> Mmus\Fhl1 <newline> Mmus\Fhl4 <newline> Mmus\Ablim3 <newline> Mmus\Trip6 <newline> Mmus\Ajuba <newline> Mmus\Zyx <newline> Mmus\Ablim1 <newline> Mmus\Lpp <newline> Mmus\Limd1 <newline> Mmus\Prickle2 <newline> Mmus\Fblim1 <newline> Mmus\Wtip <newline> Mmus\Ablim2 <newline> Mmus\Prickle3 <newline> Mmus\Tesl1 <newline> Mmus\Tes <newline> Mmus\Tesl2 <newline> Mmus\Prickle1 <newline> Mmus\Lmcd1,-,CG34325
FBgn0052694,FBtr0307382,FBtr0307382,down - up,-0.483960894,0.483960894,0.133030041,-3.637981996,0.031793538,,,FBtr0307382,CG32694-RG,CG32694,REFSEQ:NM_001258668,CG32694-RG,FBgn0052694,FBgn0052694,CG32694,,-,-,-,-,10006882,9989690,-,-,CG32694
FBgn0266711,FBtr0086541,FBtr0086541,down - up,0.480144602,0.480144602,0.163400222,2.938457454,0.041354738,,,FBtr0086541,CG9291-RB,EloC,REFSEQ:NM_079070,EloC-RB,FBgn0266711,FBgn0266711,CG9291,"Elongin C (EloC) encodes an essential protein for development that participates in the control of wing cell identity. EloB, EloC and EloA encode for subunits of the Elongin complex, which interacts in vivo with the chromatin factor encoded by corto. [Date last reviewed: 2019-03-07]","imaginal disc-derived wing vein specification ; GO:0007474 | involved_in inferred from genetic interaction with corto <newline> ubiquitin-dependent protein catabolic process ; GO:0006511 | involved_in inferred from electronic annotation with InterPro:IPR001232, InterPro:IPR016073 <newline> viral process ; GO:0016032 | involved_in inferred from genetic interaction with EloB <newline> negative regulation of receptor signaling pathway via JAK-STAT ; GO:0046426 | involved_in inferred from mutant phenotype <newline> ubiquitin-dependent protein catabolic process ; GO:0006511 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000464223 <newline> transcription elongation by RNA polymerase II ; GO:0006368 | involved_in inferred by curator from GO:0070449 <newline> imaginal disc-derived wing vein specification ; GO:0007474 | <newline> ubiquitin-dependent protein catabolic process ; GO:0006511 | <newline> viral process ; GO:0016032 | <newline> negative regulation of receptor signaling pathway via JAK-STAT ; GO:0046426 | <newline> transcription elongation by RNA polymerase II ; GO:0006368 |","elongin complex ; GO:0070449 | part_of inferred from direct assay <newline> Cul2-RING ubiquitin ligase complex ; GO:0031462 | part_of inferred from direct assay <newline> elongin complex ; GO:0070449 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000464223 <newline> Cul2-RING ubiquitin ligase complex ; GO:0031462 | part_of inferred from physical interaction with EloB,Roc1a,Cul2 <newline> elongin complex ; GO:0070449 | <newline> Cul2-RING ubiquitin ligase complex ; GO:0031462 |",protein-macromolecule adaptor activity ; GO:0030674 | enables inferred from biological aspect of ancestor with PANTHER:PTN000464223 <newline> chromatin binding ; GO:0003682 | enables inferred from direct assay <newline> protein-macromolecule adaptor activity ; GO:0030674 | <newline> chromatin binding ; GO:0003682 |,Hsap\ELOC <newline> Hsap\SKP1,19446286,19445085,Mmus\Eloc <newline> Mmus\Gm14517 <newline> Mmus\Skp1,Elongin C,EloC
FBgn0052694,FBtr0340479,FBtr0340479,down - up,0.475110285,0.475110285,0.132491955,3.585955725,0.037836459,,,FBtr0340479,CG32694-RH,CG32694,REFSEQ:NM_001298140,CG32694-RH,FBgn0052694,FBgn0052694,CG32694,,-,-,-,-,10006882,9989690,-,-,CG32694
FBgn0005659,FBtr0339318,FBtr0339318,down - up,-0.473443814,0.473443814,0.149875962,-3.158904266,0.021587419,,,FBtr0339318,CG5583-RB,Ets98B,REFSEQ:NM_001300641,Ets98B-RB,FBgn0005659,FBgn0005659,CG5583,Ets at 98B (Ets98B) encodes a protein belonging to the Ets family of transcription factors. Ets98B is specifically expressed in oocyte nucleus during oogenesis and in primordial germ cells before the onset of germ cell migration. [Date last reviewed: 2019-03-07],regulation of transcription by RNA polymerase II ; GO:0006357 | involved_in inferred from electronic annotation with InterPro:IPR046328 <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000218930 <newline> regulation of transcription by RNA polymerase II ; GO:0006357 |,nucleus ; GO:0005634 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000218930 <newline> nucleus ; GO:0005634 |,"DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | enables inferred from biological aspect of ancestor with PANTHER:PTN000218930 <newline> sequence-specific DNA binding ; GO:0043565 | enables inferred from electronic annotation with InterPro:IPR000418, InterPro:IPR003118 <newline> DNA-binding transcription factor activity ; GO:0003700 | enables inferred from electronic annotation with InterPro:IPR000418, InterPro:IPR046328 <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | <newline> sequence-specific DNA binding ; GO:0043565 | <newline> DNA-binding transcription factor activity ; GO:0003700 |",Hsap\SPDEF <newline> Hsap\SPI1 <newline> Hsap\SPIC <newline> Hsap\SPIB <newline> Hsap\ETV5 <newline> Hsap\ELF2 <newline> Hsap\EHF <newline> Hsap\ETV7 <newline> Hsap\ETV3 <newline> Hsap\GABPA <newline> Hsap\ELF3 <newline> Hsap\ETS1 <newline> Hsap\ERFL <newline> Hsap\ELK3 <newline> Hsap\ETV3L <newline> Hsap\ETV4 <newline> Hsap\FLI1 <newline> Hsap\ELK4 <newline> Hsap\ELF1 <newline> Hsap\FEV <newline> Hsap\ERF <newline> Hsap\ERG <newline> Hsap\ETV6 <newline> Hsap\ETV2 <newline> Hsap\ELF4 <newline> Hsap\ELK1 <newline> Hsap\ELF5 <newline> Hsap\ETS2 <newline> Hsap\ETV1,27748366,27736538,Mmus\Spdef <newline> Mmus\Spi1 <newline> Mmus\Spic <newline> Mmus\Spib <newline> Mmus\Ets1 <newline> Mmus\Etv6 <newline> Mmus\Etv1 <newline> Mmus\Gabpa <newline> Mmus\Fli1 <newline> Mmus\Elf5 <newline> Mmus\Ehf <newline> Mmus\Fev <newline> Mmus\Ets2 <newline> Mmus\Erf <newline> Mmus\Etv3 <newline> Mmus\Etv4 <newline> Mmus\Elf2 <newline> Mmus\Elk1 <newline> Mmus\Elf1 <newline> Mmus\Elf4 <newline> Mmus\Etv3l <newline> Mmus\Elf3 <newline> Mmus\Etv2 <newline> Mmus\Erg,Ets at 98B,Ets98B
FBgn0004797,FBtr0347182,FBtr0347182,down - up,-0.470520986,0.470520986,0.129635489,-3.629569263,0.009626385,,,FBtr0347182,CG31991-RE,mdy,REFSEQ:NM_206002,mdy-RE,FBgn0004797,FBgn0004797,CG31991,midway (mdy) encodes an acyl coenzyme A: diacylglycerol acyltransferase that functions in the formation of triglycerides. Lack of mdy leads to female sterility and impaired fat metabolism in larvae and adults. [Date last reviewed: 2019-03-14],negative regulation of lipid storage ; GO:0010888 | involved_in inferred from direct assay <newline> triglyceride biosynthetic process ; GO:0019432 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000045226 <newline> oogenesis ; GO:0048477 | involved_in inferred from high throughput mutant phenotype <newline> triglyceride biosynthetic process ; GO:0019432 | involved_in inferred from electronic annotation with InterPro:IPR027251 <newline> regulation of nurse cell apoptotic process ; GO:0045477 | involved_in inferred from mutant phenotype <newline> negative regulation of lipid storage ; GO:0010888 | <newline> triglyceride biosynthetic process ; GO:0019432 | <newline> oogenesis ; GO:0048477 | <newline> regulation of nurse cell apoptotic process ; GO:0045477 |,endoplasmic reticulum membrane ; GO:0005789 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000045225 <newline> endoplasmic reticulum membrane ; GO:0005789 |,diacylglycerol O-acyltransferase activity ; GO:0004144 | enables inferred from biological aspect of ancestor with PANTHER:PTN000045226 <newline> diacylglycerol O-acyltransferase activity ; GO:0004144 | enables inferred from direct assay <newline> diacylglycerol O-acyltransferase activity ; GO:0004144 | enables inferred from electronic annotation with InterPro:IPR027251 <newline> diacylglycerol O-acyltransferase activity ; GO:0004144 |,Hsap\DGAT1 <newline> Hsap\SOAT1 <newline> Hsap\CMBL <newline> Hsap\SOAT2,16826964,16816660,Mmus\Dgat1 <newline> Mmus\Soat2 <newline> Mmus\Cmbl <newline> Mmus\Soat1,midway,mdy
FBgn0051323,FBtr0307339,FBtr0307339,down - up,0.460059962,0.460059962,0.100597187,4.573288547,0.000106586,,,FBtr0307339,CG31323-RB,CG31323,REFSEQ:NM_001260381,CG31323-RB,FBgn0051323,FBgn0051323,CG31323,,-,-,-,-,26187307,26170847,-,-,CG31323
FBgn0039816,FBtr0334547,FBtr0334547,down - up,-0.458841131,0.458841131,0.08359439,-5.488898582,1.39031728496608e-06,,,FBtr0334547,CG11317-RB,CG11317,REFSEQ:NM_001276204,CG11317-RB,FBgn0039816,FBgn0039816,CG11317,-,-,-,-,-,31097321,31090712,-,-,CG11317
FBgn0030876,FBtr0303768,FBtr0303768,down - up,0.457058357,0.457058357,0.133928729,3.412698384,0.033323284,,,FBtr0303768,CG6762-RC,Srx,REFSEQ:NM_001201737,Srx-RC,FBgn0030876,FBgn0030876,CG6762,,cellular response to oxidative stress ; GO:0034599 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000482398 <newline> cellular oxidant detoxification ; GO:0098869 | involved_in inferred from mutant phenotype <newline> cellular response to oxidative stress ; GO:0034599 | <newline> cellular oxidant detoxification ; GO:0098869 |,cytosol ; GO:0005829 | located_in inferred from sequence or structural similarity with UniProtKB:Q9BYN0 <newline> cytoplasm ; GO:0005737 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000482398 <newline> cytosol ; GO:0005829 | <newline> cytoplasm ; GO:0005737 |,sulfiredoxin activity ; GO:0032542 | enables inferred from mutant phenotype <newline> sulfiredoxin activity ; GO:0032542 | enables inferred from electronic annotation with InterPro:IPR016692 <newline> sulfiredoxin activity ; GO:0032542 | enables inferred from biological aspect of ancestor with PANTHER:PTN000482398 <newline> sulfiredoxin activity ; GO:0032542 |,Hsap\SRXN1,17858610,17856974,Mmus\Srxn1,Sulfiredoxin,Srx
FBgn0262955,FBtr0344600,FBtr0344600,down - up,-0.446102044,0.446102044,0.086964424,-5.129707346,8.2383785524609e-06,,,FBtr0344600,CG3180-RB,Polr2B,REFSEQ:NM_001300394,Polr2B-RB,FBgn0262955,FBgn0262955,CG3180,RNA polymerase II subunit B (Polr2B) encodes a protein thought to be present in all RNA pol II complexes. [Date last reviewed: 2019-03-14],"transcription by RNA polymerase II ; GO:0006366 | involved_in non-traceable author statement <newline> DNA-templated transcription ; GO:0006351 | involved_in inferred from electronic annotation with InterPro:IPR007120, InterPro:IPR007121, InterPro:IPR007641, InterPro:IPR007642, InterPro:IPR007644, InterPro:IPR007645, InterPro:IPR007646, InterPro:IPR007647, InterPro:IPR015712, InterPro:IPR037033, InterPro:IPR037034 <newline> transcription by RNA polymerase II ; GO:0006366 | involved_in inferred from sequence or structural similarity with UniProtKB:P08518 <newline> transcription by RNA polymerase II ; GO:0006366 | <newline> DNA-templated transcription ; GO:0006351 |","RNA polymerase II, core complex ; GO:0005665 | part_of inferred from sequence or structural similarity with UniProtKB:P08518 <newline> RNA polymerase II, core complex ; GO:0005665 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000466005 <newline> RNA polymerase II, core complex ; GO:0005665 | part_of inferred from direct assay <newline> RNA polymerase II, core complex ; GO:0005665 | part_of non-traceable author statement <newline> RNA polymerase II, core complex ; GO:0005665 |","RNA polymerase II activity ; GO:0001055 | contributes_to inferred from biological aspect of ancestor with PANTHER:PTN000466005 <newline> DNA binding ; GO:0003677 | enables inferred from electronic annotation with InterPro:IPR007120, InterPro:IPR007121, InterPro:IPR007641, InterPro:IPR007642, InterPro:IPR007644, InterPro:IPR007645, InterPro:IPR007646, InterPro:IPR037033, InterPro:IPR037034 <newline> ribonucleoside binding ; GO:0032549 | enables inferred from electronic annotation with InterPro:IPR015712 <newline> RNA polymerase II activity ; GO:0001055 | contributes_to inferred from sequence or structural similarity with UniProtKB:P08518 <newline> DNA-directed 5'-3' RNA polymerase activity ; GO:0003899 | enables non-traceable author statement <newline> DNA-directed 5'-3' RNA polymerase activity ; GO:0003899 | enables inferred from electronic annotation with InterPro:IPR007120, InterPro:IPR007121, InterPro:IPR007641, InterPro:IPR007642, InterPro:IPR007644, InterPro:IPR007645, InterPro:IPR007646, InterPro:IPR014724, InterPro:IPR015712, InterPro:IPR037033, InterPro:IPR037034 <newline> RNA polymerase II activity ; GO:0001055 | <newline> DNA binding ; GO:0003677 | <newline> ribonucleoside binding ; GO:0032549 | <newline> DNA-directed 5'-3' RNA polymerase activity ; GO:0003899 |",Hsap\POLR2B <newline> Hsap\POLR3B <newline> Hsap\POLR1B,14130111,14125791,Mmus\Polr2b <newline> Mmus\Polr3b <newline> Mmus\Polr1b <newline> Mmus\Mt1,RNA polymerase II subunit B,Polr2B
FBgn0030812,FBtr0310525,FBtr0310525,down - up,0.442786169,0.442786169,0.091075358,4.861756017,2.90739728462386e-05,,,FBtr0310525,CG8949-RF,wcy,REFSEQ:NM_001272707,wcy-RF,FBgn0030812,FBgn0030812,CG8949,"wacky (wcy) encodes a protein involved in habituation, autophagy regulation and TORC1 signaling. [Date last reviewed: 2019-09-19]",positive regulation of TORC1 signaling ; GO:1904263 | involved_in inferred from mutant phenotype <newline> regulation of autophagy ; GO:0010506 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000408306 <newline> negative regulation of autophagy ; GO:0010507 | involved_in inferred from mutant phenotype <newline> habituation ; GO:0046959 | involved_in inferred from mutant phenotype <newline> positive regulation of TORC1 signaling ; GO:1904263 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000408306 <newline> positive regulation of TORC1 signaling ; GO:1904263 | <newline> regulation of autophagy ; GO:0010506 | <newline> negative regulation of autophagy ; GO:0010507 | <newline> habituation ; GO:0046959 |,nucleus ; GO:0005634 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000408306 <newline> nucleus ; GO:0005634 | located_in inferred from direct assay <newline> lysosome ; GO:0005764 | located_in inferred from direct assay <newline> nucleus ; GO:0005634 | <newline> lysosome ; GO:0005764 |,chromatin binding ; GO:0003682 | enables inferred from biological aspect of ancestor with PANTHER:PTN000408306 <newline> RNA polymerase II complex binding ; GO:0000993 | enables inferred from biological aspect of ancestor with PANTHER:PTN000408306 <newline> chromatin binding ; GO:0003682 | <newline> RNA polymerase II complex binding ; GO:0000993 |,Hsap\WAC <newline> Hsap\PRPF40A <newline> Hsap\PRPF40B,17077897,17068717,Mmus\Wac <newline> Mmus\Prpf40a <newline> Mmus\Prpf40b,wacky,wcy
FBgn0264742,FBtr0334120,FBtr0334120,down - up,0.442344619,0.442344619,0.093722086,4.7197479,5.56211715069255e-05,,,FBtr0334120,CG44000-RD,CG44000,REFSEQ:NM_001273148,CG44000-RD,FBgn0264742,FBgn0264742,CG44000,,negative regulation of biosynthetic process ; GO:0009890 | involved_in inferred from electronic annotation with InterPro:IPR036717 <newline> negative regulation of biosynthetic process ; GO:0009890 |,-,-,-,5048365,5043270,-,-,CG44000
FBgn0032391,FBtr0342581,FBtr0342581,down - up,0.436593363,0.436593363,0.150236093,2.906048428,0.045306073,,,FBtr0342581,CG5202-RC,escl,REFSEQ:NM_001298928,escl-RC,FBgn0032391,FBgn0032391,CG5202,"escl (escl) encodes an essential component of the Polycomb Repressive Complex 2, whose function is to methylate histone H3K27. Although the product of escl is functionally equivalent to the product of esc, it is not maternally supplied in equally high levels and some homeotic phenotypes occur in the absence of the product of esc. [Date last reviewed: 2019-03-07]",facultative heterochromatin formation ; GO:0140718 | involved_in inferred from genetic interaction with esc <newline> heterochromatin formation ; GO:0031507 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000028944 <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000028944 <newline> facultative heterochromatin formation ; GO:0140718 | <newline> heterochromatin formation ; GO:0031507 | <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 |,ESC/E(Z) complex ; GO:0035098 | part_of inferred from direct assay <newline> ESC/E(Z) complex ; GO:0035098 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000028944 <newline> ESC/E(Z) complex ; GO:0035098 |,nucleosome binding ; GO:0031491 | contributes_to inferred from biological aspect of ancestor with PANTHER:PTN000028944 <newline> nucleosome binding ; GO:0031491 |,Hsap\EED <newline> Hsap\WDR5 <newline> Hsap\TAF5 <newline> Hsap\NLE1 <newline> Hsap\FBXW7 <newline> Hsap\LRWD1 <newline> Hsap\RACK1 <newline> Hsap\TAF5L <newline> Hsap\DAW1 <newline> Hsap\WDR5B <newline> Hsap\BTRC <newline> Hsap\WSB1 <newline> Hsap\SNRNP40 <newline> Hsap\KATNB1 <newline> Hsap\FBXW11 <newline> Hsap\TBL3,11992848,11990927,Mmus\Eed <newline> Mmus\Wdr5 <newline> Mmus\Btrc <newline> Mmus\Fbxw7 <newline> Mmus\Taf5 <newline> Mmus\Katnb1 <newline> Mmus\Lrwd1 <newline> Mmus\Fbxw11 <newline> Mmus\Snrnp40 <newline> Mmus\Rack1 <newline> Mmus\Wdr5b <newline> Mmus\Taf5l <newline> Mmus\Daw1 <newline> Mmus\Tbl3,escl,escl
